URL,Topic,Year_Published,Days Since Posted,Number of Images,Number of Videos,Number of Paragraphs,Number of Links,Number of Tags,Number of Words in Title,Number of Words in Subtitle,Number of Words in Article,Number of Numbers in Article,Source Was Al Jazeera,Article Was Posted On Monday,Article Was Posted On Tuesday,Article Was Posted On Wednesday,Article Was Posted On Thursday,Article Was Posted On Friday,Article Was Posted On Saturday,Article Was Posted On Sunday,Google Shares,Twitter Shares,Facebook Shares
http://www.aljazeera.com/news/africa/2006/12/200852513633610951.html,Africa,2006,3207,0,0,0,0,0,5,13,0,0,1,0,0,0,0,0,0,1,0,0,0
http://www.aljazeera.com/news/africa/2006/11/2008525131549417502.html,Africa,2006,3238,0,0,0,0,0,5,13,0,0,1,0,0,0,1,0,0,0,0,0,0
http://www.aljazeera.com/news/africa/2006/12/200852513525226182.html,Africa,2006,3210,0,0,0,0,0,6,10,0,0,1,0,0,0,1,0,0,0,0,0,0
http://www.aljazeera.com/news/middleeast/2006/11/2008525141050786290.html,Middle East,2006,3230,0,0,0,0,0,5,13,0,0,1,0,0,0,0,1,0,0,0,0,0
http://www.aljazeera.com/news/middleeast/2006/12/200852514181474813.html,Middle East,2006,3201,0,0,0,0,0,6,12,0,0,1,0,0,0,0,0,1,0,0,0,0
http://www.aljazeera.com/news/middleeast/2006/12/2008525144533230276.html,Middle East,2006,3222,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.aljazeera.com/news/middleeast/2006/11/2008525144054177165.html,Middle East,2006,3222,0,0,0,0,0,5,14,0,0,1,0,0,0,0,0,1,0,0,0,0
http://www.aljazeera.com/news/europe/2006/12/2008525135110900994.html,Europe,2006,3205,0,0,0,0,0,6,11,0,0,0,0,1,0,0,0,0,0,0,0,0
http://www.aljazeera.com/news/europe/2006/12/2008525121423150903.html,Europe,2006,3208,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,1,0,0,0,0
http://www.aljazeera.com/news/europe/2006/12/2008525135841747283.html,Europe,2006,3209,0,0,0,0,0,5,10,0,0,1,0,0,0,0,1,0,0,0,0,0
http://www.aljazeera.com/news/europe/2006/12/2008525134945519764.html,Europe,2006,3220,0,0,0,0,0,4,13,0,0,1,1,0,0,0,0,0,0,0,0,0
http://www.aljazeera.com/news/africa/2006/12/2008525124912707734.html,Africa,2006,3196,0,0,0,0,0,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.aljazeera.com/news/africa/2006/12/2008525123125906925.html,Africa,2006,3203,0,0,0,0,0,3,13,0,0,0,0,0,0,0,1,0,0,0,0,0
http://www.aljazeera.com/news/africa/2006/12/200852513216934848.html,Africa,2006,3203,0,0,0,0,0,4,13,0,0,1,0,0,0,0,1,0,0,0,0,0
http://www.aljazeera.com/news/middleeast/2006/11/2008525184823434265.html,Politics,2006,3231,0,0,46,0,3,4,13,930,24,1,0,0,0,0,1,0,0,0,0,0
http://www.aljazeera.com/news/europe/2006/12/2008525131913303931.html,Europe,2006,3218,0,0,0,0,0,5,15,0,0,1,0,0,1,0,0,0,0,0,0,1
